timestamp,text,coin,sentiment,source,polarity
2025-04-02 19:50:00,Biggest ETH transfer of the month today.,ETH,0.2104,Twitter,positive
2025-06-13 13:13:00,Biggest USDT burn of the year today.,USDT,0.2028,Twitter,positive
2025-01-08 04:28:00,USDT reserves reach all-time high.,USDT,0.182,Twitter,positive
2025-01-22 11:12:00,People panic selling BTC or smart money moving in?,BTC,0.9748,Twitter,positive
2025-05-06 10:27:00,USDT flows signal caution.,USDT,-0.0496,Twitter,neutral
2025-02-14 00:46:00,Huge outflow of Bitcoin from exchanges spotted today.,BTC,0.218,Twitter,positive
2025-01-21 20:32:00,USDT reserves reach all-time high.,USDT,0.2085,Twitter,positive
2025-03-21 23:36:00,"Massive ETH transaction detected: 31,407 ETH.",ETH,-0.3478,Twitter,negative
2025-04-08 20:37:00,"Whale alert: 4,657 BTC sent to unknown wallet.",BTC,-0.0041,Twitter,neutral
2025-03-25 06:36:00,Bullish on Solana after mainnet upgrade?,SOL,-0.0961,Twitter,negative
2025-01-07 16:44:00,Solana ecosystem booming despite volatility.,SOL,-0.2559,Twitter,negative
2025-03-05 18:38:00,Whale wallet deposits 10k ETH to Binance.,ETH,-0.3502,Twitter,negative
2025-04-17 07:39:00,Whale converts profits into USDT.,USDT,-0.232,Twitter,negative
2025-07-18 16:37:00,"Whale alert: 4,982 BTC sent to unknown wallet.",BTC,-0.0097,Twitter,neutral
2025-05-21 21:36:00,"Solana whale just moved 40,752 SOL.",SOL,0.0947,Twitter,positive
2025-02-14 08:30:00,"Whale alert: 49,534 SOL deposited to FTX.",SOL,0.6951,Twitter,positive
2025-07-05 09:37:00,"Traders moving to stablecoins: 40,579 USDT.",USDT,-0.3761,Twitter,negative
2025-04-17 21:55:00,USDT reserves reach all-time high.,USDT,0.318,Twitter,positive
2025-05-08 09:52:00,Whale wallet deposits 10k ETH to Binance.,ETH,0.3144,Twitter,positive
2025-06-15 06:01:00,SOL sees huge network activity spike.,SOL,0.1564,Twitter,positive
2025-06-16 10:42:00,Suspicious USDT transfers just before dump.,USDT,-0.0383,Twitter,neutral
2025-01-03 03:46:00,Bitcoin halving hype building up.,BTC,0.2813,Twitter,positive
2025-05-26 11:48:00,"Solana whale just moved 41,616 SOL.",SOL,-0.0179,Twitter,neutral
2025-05-02 16:03:00,Bitcoin halving hype building up.,BTC,0.5224,Twitter,positive
2025-07-05 00:21:00,"ETH whales moving coins as price nears 37,343.",ETH,0.1011,Twitter,positive
2025-07-18 17:10:00,USDT flows signal caution.,USDT,0.1424,Twitter,positive
2025-04-08 12:29:00,Solana TVL hits new high.,SOL,0.0493,Twitter,neutral
2025-03-10 04:36:00,Biggest ETH transfer of the month today.,ETH,-0.7662,Twitter,negative
2025-02-04 13:36:00,SOL chart looks primed for reversal.,SOL,0.3792,Twitter,positive
2025-05-12 18:33:00,SOL chart looks primed for reversal.,SOL,-0.3361,Twitter,negative
2025-03-05 08:26:00,Will $ETH break all-time high soon?,ETH,0.6625,Twitter,positive
2025-02-19 12:20:00,"Solana whale just moved 47,499 SOL.",SOL,0.3699,Twitter,positive
2025-06-11 20:54:00,Staked ETH surpasses new milestone.,ETH,-0.1102,Twitter,negative
2025-01-30 13:40:00,Whale converts profits into USDT.,USDT,-0.3335,Twitter,negative
2025-01-05 01:07:00,SOL whale movements ahead of earnings.,SOL,-0.9372,Twitter,negative
2025-03-07 04:04:00,Is this USDT mint a sign of market pump?,USDT,0.2592,Twitter,positive
